,shortages,mismatches,youngblood,FIFO,usability,substitution,today,total_antibodies,max_antibodies_pp,alloimm_patients,antibodies A,antibodies B,antibodies D,antibodies C,antibodies c,antibodies E,antibodies e,antibodies K,antibodies Fya,antibodies Fyb,antibodies Jka,antibodies Jkb,antibodies M,antibodies N,antibodies S,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD
447,10.0,0.12,0.02,0.82,0.05,0.05,0.23,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,48.0,0.0,168.442068,0.93225638353309
448,10.0,0.75,0.95,0.91,0.91,0.91,0.35,13,1,13,0,0,0,0,0,0,0,0,0,1,0,0,9,2,1,11.0,0.0,175.61281599999998,0.8816071976280544
449,10.0,0.9,0.8,0.4,0.79,0.73,0.15,9,1,9,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,15.0,0.0,180.055667,0.8948937015696403
450,10.0,0.53,0.37,0.45,0.08,0.84,0.11,13,2,11,0,0,0,0,0,0,0,0,0,0,1,0,11,0,1,36.0,0.0,130.21271199999998,0.8831869009584664
451,10.0,0.61,0.93,0.77,0.5,0.21,0.44,14,2,12,0,0,0,0,0,0,0,0,0,1,0,1,9,2,1,46.0,0.0,179.255042,0.8891559026734756
452,10.0,0.45,0.01,0.92,0.35,0.08,0.38,12,2,11,0,0,0,0,0,0,0,0,1,0,0,1,9,1,0,0.0,0.0,185.686066,0.8780487804878049
453,10.0,0.63,0.95,0.98,0.48,0.62,0.87,13,1,13,0,0,0,0,0,0,0,0,1,0,0,0,7,2,3,7.0,0.0,181.940111,0.8893071523044054
454,10.0,0.76,0.09,0.7,0.08,0.62,0.25,13,2,12,0,0,0,0,0,0,0,0,1,0,0,0,9,1,2,6.0,0.0,125.335881,0.8768828451882845
455,10.0,0.98,0.44,0.05,0.13,0.66,0.97,19,2,18,0,0,0,0,0,0,0,0,0,0,1,1,14,2,1,51.0,0.0,139.626635,0.8809904153354633
456,10.0,0.04,0.95,0.8,0.13,0.78,0.61,14,2,13,0,0,0,0,0,0,0,0,0,1,1,1,10,1,0,113.0,0.0,197.755218,0.8657180078164145
457,10.0,0.01,0.03,0.74,0.66,0.2,0.85,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,41.0,0.0,239.841273,0.9498249708284714
458,10.0,0.45,0.9,0.56,0.15,0.97,0.67,10,1,10,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,11.0,0.0,156.26337199999998,0.8640032284100081
459,10.0,0.78,0.35,0.34,0.39,0.25,0.72,13,2,11,0,0,0,0,0,0,0,0,1,0,1,0,9,0,2,20.0,0.0,174.547788,0.8785608674223756
460,10.0,0.39,0.4,0.16,0.19,0.64,0.82,11,2,10,0,0,0,0,0,0,0,0,0,1,0,0,7,2,1,0.0,0.0,170.55968099999998,0.8958456389052963
461,10.0,0.81,0.49,0.8,0.55,0.37,0.22,12,1,12,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,35.0,0.0,170.46169000000003,0.9001331557922769
462,10.0,0.86,0.13,0.94,0.19,0.45,0.15,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0.0,0.0,142.482341,0.8485714285714285
463,10.0,0.38,0.39,0.77,0.22,0.29,0.75,15,1,15,0,0,0,0,0,0,0,0,0,1,0,0,11,2,1,108.0,0.0,178.329162,0.8956574799145733
464,10.0,0.58,0.58,0.98,0.71,0.9,0.98,15,1,15,0,0,0,0,0,0,0,0,2,1,1,0,8,1,2,5.0,0.0,206.073061,0.9004893964110929
465,10.0,0.84,0.92,0.95,0.77,0.65,0.28,11,2,10,0,0,0,0,0,0,0,0,3,0,0,0,6,1,1,83.0,0.0,175.81734999999998,0.8831611570247934
466,10.0,1.0,0.99,0.08,0.13,0.37,0.52,8,2,7,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,14.0,0.0,141.809449,0.8883563011783503
467,10.0,0.0,0.08,0.25,0.04,0.91,0.5,22,2,16,0,0,0,0,0,0,0,0,7,1,3,0,10,1,0,0.0,0.0,192.893919,0.8905885928477358
468,10.0,0.29,0.29,0.13,0.42,0.92,0.15,13,1,13,0,0,0,0,0,0,0,0,3,1,1,0,6,2,0,9.0,0.0,172.807991,0.8983315954118873
469,10.0,0.73,0.33,0.75,0.96,0.52,0.3,12,2,10,0,0,0,0,0,0,0,0,2,0,0,0,7,1,2,5.0,0.0,184.060368,0.9002496255616576
470,10.0,0.94,0.37,0.36,0.01,0.45,0.87,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,60.0,0.0,96.905909,0.9606393606393606
471,10.0,0.2,0.74,0.84,0.45,0.76,0.16,13,2,12,0,0,0,0,0,0,0,0,1,0,1,0,8,2,1,21.0,0.0,182.465003,0.8996829941711831
472,10.0,0.38,0.41,0.13,0.46,0.45,0.3,15,1,15,0,0,0,0,0,0,0,0,1,2,0,1,9,2,0,21.0,0.0,181.617323,0.9095296775518588
473,10.0,0.16,0.18,0.33,0.03,0.16,0.45,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,13.0,0.0,146.19149900000002,0.8748489730165123
474,10.0,0.39,0.08,0.92,0.59,0.26,0.46,13,2,11,0,0,0,0,0,0,0,0,2,0,2,0,6,2,1,14.0,0.0,200.243536,0.9146973466003316
475,10.0,0.73,0.38,0.96,0.68,0.27,0.52,15,2,13,0,0,0,0,0,0,0,0,0,0,2,0,11,1,1,27.0,0.0,188.920457,0.8816693613581245
476,10.0,0.56,0.57,0.08,0.16,0.11,0.47,14,3,12,0,0,0,0,0,0,0,0,1,0,1,0,11,1,0,40.0,0.0,159.18203,0.8794788273615635
