,shortages,mismatches,FIFO,usability,substitution,today,total_antibodies,alloimm_risk_A,alloimm_risk_B,alloimm_risk_D,alloimm_risk_C,alloimm_risk_c,alloimm_risk_E,alloimm_risk_e,alloimm_risk_K,alloimm_risk_Fya,alloimm_risk_Fyb,alloimm_risk_Jka,alloimm_risk_Jkb,alloimm_risk_M,alloimm_risk_N,alloimm_risk_S,total_alloimm_risk,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,subst_SCD_A,subst_SCD_B,subst_SCD_D,antibodies_A,antibodies_B,antibodies_D,antibodies_C,antibodies_c,antibodies_E,antibodies_e,antibodies_K,antibodies_Fya,antibodies_Fyb,antibodies_Jka,antibodies_Jkb,antibodies_M,antibodies_N,antibodies_S
461,100.0,0.7050100200400802,0.7448897795591182,0.1603206412825651,0.593186372745491,46.346292585170346,17,0.0,0.0,0.0,2.725825,11.536298,16.052352,3.959808,53.742552,15.054693,3.66696,18.730172,6.407718,18.54853,0.0,12.895164,163.32007199999998,2,16,62.0,0.0,19,28,38,0,0,0,0,0,0,0,0,1,1,0,0,11,1,3
462,100.0,0.4661322645290581,0.9600200400801604,0.1811623246492986,0.4889779559118236,28.928857715430865,13,0.0,0.0,0.0,2.811421,12.347622,19.27856,4.134912,62.435228,15.118827,3.67488,20.177214,6.5263420000000005,18.764746,0.0,13.16956,178.43931199999997,1,13,1.0,0.0,7,28,38,0,0,0,0,0,0,0,0,0,0,0,1,7,3,2
463,100.0,0.4340681362725451,0.2974949899799599,0.1486973947895791,0.0060120240480961,28.128056112224453,15,0.0,0.0,0.0,2.253009,12.867234000000002,34.307967999999995,4.094976,93.404952,14.489703,3.438336,18.99906,6.10644,18.785767,0.0,12.22112,220.968565,2,14,114.0,0.0,22,27,39,0,0,0,0,0,0,0,0,1,1,0,0,11,1,1
464,100.0,0.4709418837675351,0.2118236472945892,0.1394789579158316,0.8496993987975952,26.32625250501001,12,0.0,0.0,0.0,2.726844,10.870830000000002,18.944136,4.1472,72.15251599999999,14.208735,3.569808,18.160554,6.348406,18.662644,0.0,13.138428,182.930101,1,12,8.0,0.0,21,33,39,0,0,0,0,0,0,0,0,1,0,0,0,7,2,2
465,100.0,0.7547094188376755,0.0880761523046092,0.1983967935871743,0.933867735470942,87.387374749499,9,0.0,0.0,0.0,2.666723,11.07594,21.953952,4.122624,58.931716,14.219424,3.4737120000000004,16.89395,5.953442,18.612594,0.0,12.880684,170.784761,2,8,97.0,0.0,14,31,40,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0
466,100.0,0.9871743486973948,0.8134268537074149,0.0328657314629258,0.4549098196392785,43.34328657314629,9,0.0,0.0,0.0,2.311092,10.866272,2.537688,3.94752,24.359324,14.234694,3.564,17.08854,6.15699,18.821803,0.0,13.485224,117.373147,2,8,13.0,0.0,15,30,41,0,0,0,0,0,0,0,0,1,1,0,0,6,1,0
467,100.0,0.5847695390781563,0.2708416833667335,0.0897795591182364,0.3266533066132264,14.714629258517034,12,0.0,0.0,0.0,2.442543,10.84804,11.055663999999998,4.091904,39.530192,14.570634,3.481104,18.107484,6.360538,18.604586,0.0,13.3397,142.432389,2,10,15.0,0.0,10,30,39,0,0,0,0,0,0,0,0,1,0,1,0,9,0,1
468,100.0,0.2384769539078156,0.9485971943887777,0.0216432865731462,0.5290581162324649,28.728657314629263,12,0.0,0.0,0.0,2.612716,12.507152,8.301584,4.141056,38.439476,14.854656,3.735072,18.372834,6.22776,18.840822,0.0,13.410652,141.44378,1,12,6.0,0.0,13,27,37,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4
469,100.0,0.503006012024048,0.9942885771543086,0.1975951903807615,0.1222444889779559,21.521442885771545,16,0.0,0.0,0.0,2.709521,12.828491,20.36052,4.33152,70.004136,15.230298,3.666432,20.385956,6.609244,18.460442,0.0,13.000144,187.586704,2,14,29.0,0.0,28,21,39,0,0,0,0,0,0,0,0,3,0,0,0,9,3,1
470,100.0,0.7114228456913827,0.5487975951903807,0.1623246492985972,0.0681362725450901,99.5995991983968,10,0.0,0.0,0.0,2.436429,12.071863,18.649056,4.137984,66.46757199999999,15.080652,3.4341120000000003,19.487304,6.444788,18.586568,0.0,12.592532,179.38886,1,10,43.0,0.0,17,32,41,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3
